SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean,Label
172.217.3.100,443,192.168.50.6,54864,6,58746937,1,203,827421,165,0
192.168.50.6,54880,52.85.89.250,443,6,90620906,0,97,2449213,233,0
172.217.12.206,80,192.168.50.6,54885,6,40252246,0,57,3096326,164,0
192.168.50.6,54877,52.85.89.250,443,6,90668003,0,97,2450486,233,0
192.168.50.8,53186,4.2.2.4,53,17,32,62500,4437500,32,71,0
192.168.50.6,61444,4.2.2.4,53,17,27,74074,4962962,27,67,0
23.194.177.32,443,192.168.50.6,54882,6,90361698,0,1075,1050717,1116,0
192.168.50.4,22,172.16.0.5,31151,6,12230883,3,567,330564,182,0
192.168.50.9,48208,52.28.108.167,443,6,100817,79,6764,14402,85,0
192.168.50.8,59604,52.85.90.206,443,6,129778,154,22345,6830,145,0
172.217.9.226,443,192.168.50.8,59608,6,59229474,2,1778,477657,842,0
172.16.0.5,31151,192.168.50.4,22,6,12666204,2,364,469118,164,0
192.168.50.8,65282,4.2.2.4,53,17,21,95238,7619047,21,80,0
192.168.50.8,51666,4.2.2.4,53,17,13,153846,13692307,13,89,0
192.168.50.8,59597,172.217.9.226,443,6,59370023,0,68,2047242,136,0
192.168.50.6,54864,172.217.3.100,443,6,58808882,1,243,964080,230,0
192.168.50.6,50362,8.8.8.8,53,17,34,58823,5235294,34,89,0
192.168.50.8,59607,172.217.12.193,443,6,59235886,0,95,2042616,189,0
192.168.50.8,59145,4.2.2.4,53,17,9,222222,16888888,9,76,0
192.168.50.8,64820,4.2.2.4,53,17,28,71428,5214285,28,73,0
192.168.50.6,54808,192.168.10.50,21,6,9014967,0,43,1802993,64,0
192.168.50.6,54879,52.85.89.250,443,6,90621032,0,102,2210269,221,0
172.16.0.5,52312,192.168.50.4,6921,6,151786,26,1581,50595,60,0
192.168.50.8,61667,4.2.2.4,53,17,9,222222,18000000,9,81,0
192.168.50.6,54866,72.167.239.239,80,6,68721,145,21274,7635,146,0
