SrcIP,SrcPort,DstIP,DstPort,Proto,Feature0,Feature1,Feature2,Feature3,Feature4,Label
192.168.50.8,59843,4.2.2.4,53,17,4.375000,16.532349,22.861797,4.375000,6.296875,0
192.168.50.6,54857,172.217.12.193,443,6,18.014805,6.177288,13.304879,13.827305,7.133789,0
93.184.216.180,443,192.168.50.9,41488,6,8.703125,13.727386,19.950905,6.453125,6.234375,0
192.168.50.6,54856,172.217.9.226,443,6,18.005833,6.186260,13.313851,13.818333,7.133789,0
192.168.50.8,61667,4.2.2.4,53,17,3.750000,17.157349,23.456993,3.750000,6.265625,0
192.168.50.6,63821,4.2.2.4,53,17,3.625000,17.282349,23.432983,3.625000,6.109375,0
192.168.50.6,54656,4.2.2.4,53,17,3.500000,17.407349,23.736797,3.500000,6.296875,0
192.168.50.6,54859,172.217.9.226,443,6,17.583649,6.608444,13.736035,13.396149,7.133789,0
192.168.50.4,22,172.16.0.5,31151,6,23.458050,1.674439,7.774571,18.301800,7.507324,0
192.168.50.6,56876,4.2.2.4,53,17,4.000000,16.907349,23.147388,4.000000,6.203125,0
192.168.50.6,60894,4.2.2.4,53,17,3.375000,17.532349,23.831993,3.375000,6.265625,0
192.168.50.8,57018,4.2.2.4,53,17,3.750000,17.157349,23.382488,3.750000,6.187500,0
192.168.50.6,55012,4.2.2.4,53,17,3.500000,17.407349,23.587784,3.500000,6.140625,0
52.85.90.206,443,192.168.50.8,59605,6,25.753708,254.259567,4.947848,21.753708,8.432129,0
172.16.0.5,52312,192.168.50.4,51989,6,17.295593,4.611755,10.492546,15.795593,5.875000,0
192.168.50.6,54822,72.21.91.29,80,6,26.185104,254.364624,5.355304,21.622604,6.990234,0
192.168.50.8,59613,172.217.12.206,80,6,26.348351,254.201370,4.784138,21.785851,6.562500,0
192.168.50.8,55777,4.2.2.4,53,17,3.625000,17.282349,23.641598,3.625000,6.328125,0
192.168.50.6,54848,172.217.9.226,80,6,22.374861,0.532489,6.457983,19.624861,5.921875,0
192.168.50.8,56121,4.2.2.4,53,17,3.375000,17.532349,23.846895,3.375000,6.281250,0
72.21.91.29,80,192.168.50.6,54821,6,26.227715,254.202805,2.191743,21.790215,7.641602,0
192.168.50.6,62431,8.8.8.8,53,17,5.187500,15.719849,22.064198,5.187500,6.312500,0
52.85.89.250,443,192.168.50.6,54879,6,26.200645,254.961639,5.624356,21.013145,9.331177,0
192.168.50.6,52583,4.2.2.4,53,17,4.375000,16.532349,22.891598,4.375000,6.328125,0
52.28.108.167,443,192.168.50.9,48208,6,5.343750,16.563599,22.623203,3.843750,6.031250,0
192.168.50.6,54880,52.85.89.250,443,6,26.200653,254.872238,0.902521,21.106903,7.941650,0
192.168.50.6,51518,4.2.2.4,53,17,3.375000,17.532349,23.876698,3.375000,6.312500,0
172.217.9.226,443,192.168.50.6,54855,6,17.363457,6.424683,12.875233,13.613457,8.498291,0
192.168.50.8,56531,4.2.2.4,53,17,3.500000,17.407349,23.692093,3.500000,6.250000,0
52.85.89.250,443,192.168.50.6,54880,6,26.200647,254.766312,3.850007,21.200647,9.086182,0
192.168.50.8,60409,4.2.2.4,53,17,3.375000,17.532349,23.936302,3.375000,6.375000,0
172.16.0.5,46769,192.168.50.4,445,6,4.125000,16.782349,22.663139,4.125000,5.875000,0
192.168.50.6,65011,4.2.2.4,53,17,3.375000,17.532349,23.682983,3.375000,6.109375,0
192.168.50.8,50816,4.2.2.4,53,17,5.687500,15.219849,21.415186,5.687500,6.156250,0
192.168.50.6,49752,4.2.2.4,53,17,3.625000,17.282349,23.656500,3.625000,6.343750,0
192.168.50.6,52929,4.2.2.4,53,17,3.750000,17.157349,23.546402,3.750000,6.359375,0
192.168.50.6,53406,4.2.2.4,53,17,3.500000,17.407349,23.766598,3.500000,6.328125,0
192.168.50.6,64399,4.2.2.4,53,17,3.500000,17.407349,23.557983,3.500000,6.109375,0
192.168.50.8,56051,4.2.2.4,53,17,3.625000,17.282349,23.611797,3.625000,6.296875,0
192.168.50.8,59610,172.217.9.230,443,6,25.769381,0.988957,4.848419,18.941256,6.941162,0
192.168.50.6,62514,4.2.2.4,53,17,3.750000,17.157349,23.352686,3.750000,6.156250,0
192.168.50.6,60667,4.2.2.4,53,17,3.500000,17.407349,23.602686,3.500000,6.156250,0
192.168.50.8,59616,72.21.91.29,80,6,25.795576,254.515732,5.234467,21.483076,6.705078,0
192.168.50.6,54865,54.243.214.170,443,6,26.208519,255.834564,4.644935,20.130394,8.076294,0
172.217.12.206,80,192.168.50.8,59613,6,26.348351,254.082169,5.029076,21.910851,6.944336,0
192.168.50.6,56925,4.2.2.4,53,17,3.500000,17.407349,23.706993,3.500000,6.265625,0
52.85.89.250,443,192.168.50.6,54876,6,26.201120,0.095281,3.990682,19.857370,10.036407,0
172.16.0.5,17369,192.168.50.4,22,6,23.266218,1.806666,6.624428,18.172468,7.171387,0
192.168.50.8,52093,4.2.2.4,53,17,5.656250,15.251099,21.625250,5.656250,6.343750,0
192.168.50.8,59261,4.2.2.4,53,17,4.125000,16.782349,22.962784,4.125000,6.140625,0
192.168.50.6,54844,74.208.236.171,80,6,22.383430,0.523919,6.449413,19.633430,5.921875,0
31.13.71.2,443,192.168.50.6,54875,6,25.734186,254.696320,6.058160,21.296686,8.488281,0
172.217.197.154,443,192.168.50.9,60096,6,5.937500,16.493011,22.537716,3.687500,6.046875,0
192.168.50.6,59354,4.2.2.4,53,17,3.500000,17.407349,23.751698,3.500000,6.312500,0
192.168.50.6,54849,172.217.9.226,443,6,25.779514,255.127838,0.338561,20.842014,7.066895,0
192.168.50.8,61393,4.2.2.4,53,17,3.750000,17.157349,23.546402,3.750000,6.359375,0
192.168.50.6,54836,192.0.73.2,80,6,24.791557,255.115784,5.685520,20.916557,6.548828,0
192.168.50.8,59145,4.2.2.4,53,17,3.500000,17.407349,23.632488,3.500000,6.187500,0
72.21.91.29,80,192.168.50.8,59616,6,25.795570,254.396530,0.948354,21.608070,7.827148,0
172.217.12.206,80,192.168.50.6,54863,6,22.229609,255.677734,5.647937,20.729609,5.968750,0
192.168.50.6,61122,4.2.2.4,53,17,3.500000,17.407349,23.706993,3.500000,6.265625,0
192.168.50.6,54875,31.13.71.2,443,6,25.736502,254.813217,4.001407,21.174002,7.651367,0
192.168.50.8,55174,4.2.2.4,53,17,3.625000,17.282349,23.581993,3.625000,6.265625,0
192.168.50.9,57658,35.158.163.158,443,6,16.641815,6.265533,12.628509,13.891815,6.332031,0
172.217.9.238,80,192.168.50.6,54805,6,4.500000,16.407349,22.288139,4.500000,5.875000,0
172.217.12.206,80,192.168.50.6,54885,6,24.800365,254.630142,6.208256,21.425365,7.557617,0
192.168.50.8,65283,4.2.2.4,53,17,3.625000,17.282349,23.567093,3.625000,6.250000,0
192.168.50.8,59593,192.168.10.50,21,6,23.076349,255.354156,5.369063,20.826349,6.015625,0
192.168.50.6,59219,4.2.2.4,53,17,3.625000,17.282349,23.477686,3.625000,6.156250,0
192.168.50.6,54819,52.39.131.77,443,6,25.826935,255.080414,255.574753,20.889435,7.060059,0
192.168.50.6,60695,4.2.2.4,53,17,5.500000,15.407349,21.496756,5.500000,6.046875,0
192.168.50.6,50362,8.8.8.8,53,17,4.500000,16.407349,22.826202,4.500000,6.390625,0
192.168.50.6,64624,4.2.2.4,53,17,3.625000,17.282349,23.581993,3.625000,6.265625,0
192.168.50.6,61210,4.2.2.4,53,17,3.375000,17.532349,23.712784,3.375000,6.140625,0
192.168.50.6,54861,172.217.12.206,80,6,26.214508,254.454422,5.374327,21.527008,6.916016,0
192.168.50.6,54808,192.168.10.50,21,6,23.074671,255.355835,5.370742,20.824671,6.015625,0
192.168.50.8,55186,4.2.2.4,53,17,3.750000,17.157349,23.337784,3.750000,6.140625,0
172.217.3.100,443,192.168.50.8,59609,6,25.743919,254.746201,5.401622,21.243919,8.086670,0
192.168.50.8,61627,4.2.2.4,53,17,4.312500,16.594849,22.684256,4.312500,6.046875,0
192.168.50.6,54820,34.213.240.161,443,6,18.996349,6.612976,12.499385,13.340099,7.753174,0
192.168.50.8,62370,4.2.2.4,53,17,3.625000,17.282349,23.596895,3.625000,6.281250,0
172.217.10.138,443,192.168.50.8,59612,6,25.761005,254.669510,5.599206,21.323505,8.261719,0
192.168.50.6,54824,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.6,63128,4.2.2.4,53,17,3.125000,17.782349,24.201202,3.125000,6.390625,0
192.168.50.6,52915,4.2.2.4,53,17,3.500000,17.407349,23.706993,3.500000,6.265625,0
172.217.12.193,443,192.168.50.8,59607,6,25.757851,254.911087,5.926462,21.070351,8.181641,0
192.168.50.6,54828,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.8,60497,4.2.2.4,53,17,5.250000,15.657349,21.867588,5.250000,6.171875,0
192.168.50.6,55038,8.8.8.8,53,17,3.625000,17.282349,23.671402,3.625000,6.359375,0
192.168.50.6,54805,172.217.9.238,80,6,15.258972,6.648376,12.529167,13.758972,5.875000,0
192.168.50.9,41488,93.184.216.180,443,6,14.743408,8.687103,14.899445,11.368408,6.222656,0
192.168.50.6,53212,4.2.2.4,53,17,3.500000,17.407349,23.706993,3.500000,6.265625,0
192.168.50.8,64858,4.2.2.4,53,17,3.375000,17.532349,23.772388,3.375000,6.203125,0
172.16.0.5,27018,192.168.50.4,8888,6,4.687500,16.219849,22.100639,4.687500,5.875000,0
192.168.50.6,63064,4.2.2.4,53,17,4.437500,16.469849,22.829098,4.437500,6.328125,0
192.168.50.6,54827,74.208.236.171,80,6,3.750000,17.157349,23.216953,3.750000,6.031250,0
192.168.50.6,62285,4.2.2.4,53,17,3.625000,17.282349,23.537291,3.625000,6.218750,0
192.168.50.9,60096,172.217.197.154,443,6,15.644745,7.262604,13.625579,12.894745,6.332031,0
35.158.163.158,443,192.168.50.9,57658,6,5.875000,16.032349,22.091953,4.375000,6.031250,0
192.168.50.6,54866,72.167.239.239,80,6,16.048599,7.143494,14.312994,12.923599,7.177734,0
173.194.208.109,465,192.168.50.8,59594,6,20.567158,4.833552,6.677577,15.129657,7.600220,0
192.168.50.8,54503,4.2.2.4,53,17,5.250000,15.657349,21.778179,5.250000,6.078125,0
192.168.50.8,59615,52.88.72.192,443,6,25.825478,254.962662,2.810046,21.012978,7.280762,0
192.168.50.8,62093,4.2.2.4,53,17,3.500000,17.407349,23.796402,3.500000,6.359375,0
192.168.50.8,55951,4.2.2.4,53,17,3.750000,17.157349,23.427193,3.750000,6.234375,0
172.217.3.100,443,192.168.50.6,54864,6,25.750813,0.322071,5.810115,19.641438,7.332764,0
192.168.50.6,54873,172.217.12.163,443,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
